miRNA genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mmu-miR-344b-5p,0.3332275088900569,-2.0301348255119342,4.125339959032375,-0.49211333991201917,0.6226392223694064,0.9978624094514408
mmu-miR-7673-5p,0.3332275088900569,-2.0301348255119342,4.125339959032375,-0.49211333991201917,0.6226392223694064,0.9978624094514408
mmu-miR-1982-5p,0.3332275088900569,-2.0301348255119342,4.125339959032375,-0.49211333991201917,0.6226392223694064,0.9978624094514408
mmu-miR-669k-5p,1.8867483780073961,-1.9966293961135921,1.7688328170930332,-1.1287835553587977,0.2589891514237781,0.9978624094514408
mmu-miR-6927-5p,0.7667300595426307,-1.9694997421519094,2.950234585367713,-0.667573945448285,0.5044055936469507,0.9978624094514408
mmu-miR-6976-3p,0.7667300595426307,-1.9694997421519094,2.950234585367713,-0.667573945448285,0.5044055936469507,0.9978624094514408
mmu-miR-5622-5p,0.3077679642074734,-1.9398329309288502,4.343939606014346,-0.4465607505783643,0.6551922399775898,0.9978624094514408
mmu-miR-216c-5p,0.3077679642074734,-1.9398329309288502,4.343939606014346,-0.4465607505783643,0.6551922399775898,0.9978624094514408
mmu-miR-301b-5p,0.3077679642074734,-1.9398329309288502,4.343939606014346,-0.4465607505783643,0.6551922399775898,0.9978624094514408
mmu-miR-1946a,1.5465957588649208,-1.9223602359032967,1.9525190308730012,-0.9845539047287954,0.32484324111317,0.9978624094514408
mmu-miR-7067-3p,0.8063317623172505,-1.8900904993931198,2.7127917541653903,-0.6967326174192902,0.4859701422045355,0.9978624094514408
mmu-miR-297b-5p,0.8063317623172505,-1.8900904993931198,2.7127917541653903,-0.6967326174192902,0.4859701422045355,0.9978624094514408
mmu-let-7c-2-3p,348.92624704701024,-1.8697399587424162,0.9956860829067353,-1.8778408083037879,0.06040294580848275,0.9978624094514408
